userId,gridExp,logicExp,genreOrder,narrOrder,modeMap,trainMode,ballroomMode,chiliMode,tutorialTime,tutorialSlide,category,numPuzzles,totalTime,averageTime
TDq3mNEyfhMjJ5ngJE4BkxmwUhG3,2,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['if', 'hints', 'nar']","{""Lady Rose's Chrysanthemum Ball"": 'if', 'The Great Chili Competition': 'hints', 'The Wild Rose Train': 'nar'}",nar,if,hints,233680,11,expert,1,247397.0,247397.0
TISiNgV9T9bHYCc2nhpYiPoTIAr1,1,1,"[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","['if', 'nar', 'hints']","{""Lady Rose's Chrysanthemum Ball"": 'if', 'The Wild Rose Train': 'nar', 'The Great Chili Competition': 'hints'}",nar,if,hints,853880,11,novice,1,2499409.0,2499409.0
Htv6KfJvNjVIATLTD2Vb35xMmRy2,2,2,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['nar', 'hints', 'if']","{'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if'}",hints,if,nar,120660,11,expert,3,3621411.0,1207137.0
IkagkgoJJaX5Ax0fU1T0G67SqtH3,2,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","['hints', 'nar', 'if']","{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'nar', 'The Great Chili Competition': 'if'}",nar,hints,if,134109,11,expert,3,1928951.0,642983.6666666666
jcfCyVhF1nWpCHLeD38IAOSbZh72,2,2,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['if', 'nar', 'hints']","{'The Great Chili Competition': 'if', ""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'hints'}",hints,nar,if,108124,11,expert,4,2558509.0,639627.25
9pHECg5KvFTWaUWPLLhqbvrK1ZG3,2,2,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['if', 'nar', 'hints']","{'The Great Chili Competition': 'if', ""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'hints'}",hints,nar,if,303439,11,expert,3,2860444.0,953481.3333333334
gZ9K4VxAFnNjxr40wHk3XoDOych2,1,1,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['if', 'nar', 'hints']","{'The Wild Rose Train': 'if', 'The Great Chili Competition': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'hints'}",if,hints,nar,972125,11,novice,1,1126130.0,1126130.0
lP0gVrW16BPqoaT1vESLrE0ZAQJ2,1,1,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['if', 'nar', 'hints']","{'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Great Chili Competition': 'hints'}",if,nar,hints,141168,11,novice,1,0.0,0.0
PB9gm8aZ2jUdJtsIIYgmgdqFSvG2,2,2,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['nar', 'hints', 'if']","{'The Wild Rose Train': 'nar', 'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if'}",nar,if,hints,426575,11,expert,1,303748.0,303748.0
Ye2oE6t1z9Yk57Fpd2HMki2P4Mj1,2,2,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['nar', 'if', 'hints']","{'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints'}",if,hints,nar,337864,11,expert,1,769398.0,769398.0
yVU0UmkrYlabszLk2556j93rvri2,2,1,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['if', 'nar', 'hints']","{'The Great Chili Competition': 'if', ""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'hints'}",hints,nar,if,81450,11,expert,1,2146889.0,2146889.0
RXCHfa6VfQM9JsIVLYc49ZsGGBL2,1,1,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['if', 'hints', 'nar']","{'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'nar'}",if,hints,nar,1351350,11,novice,1,947788.0,947788.0
5d5Q8GkdpCa5CmMd8bIbFh8JEi23,1,1,"[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","['if', 'hints', 'nar']","{""Lady Rose's Chrysanthemum Ball"": 'if', 'The Wild Rose Train': 'hints', 'The Great Chili Competition': 'nar'}",hints,if,nar,173531,11,novice,1,31006.0,31006.0
ZyIOgZpVx5TzZQ3eZ7HrpKYF2Su2,1,1,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['hints', 'nar', 'if']","{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'if'}",if,hints,nar,106620,11,novice,3,610343.0,203447.66666666666
8160xgsSzWP4w20TvtIGLj5eAkp2,2,1,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['nar', 'if', 'hints']","{'The Great Chili Competition': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'if', 'The Wild Rose Train': 'hints'}",hints,if,nar,112311,11,expert,1,50443.0,50443.0
H8ocEUTfgMT8FNbp236vL2YFH7C3,1,2,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['if', 'nar', 'hints']","{'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Great Chili Competition': 'hints'}",if,nar,hints,943358,11,intermediate,1,3435266.0,3435266.0
c1YSefqSeqfgiHH2TpcI0l5C7LG2,2,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['hints', 'if', 'nar']","{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'if', 'The Wild Rose Train': 'nar'}",nar,hints,if,646458,11,expert,1,2469071.0,2469071.0
mvnGCtaKRZQX10VDjgCTDfwLEpg1,2,1,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['hints', 'nar', 'if']","{'The Great Chili Competition': 'hints', 'The Wild Rose Train': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'if'}",nar,if,hints,49456,11,expert,1,351016.0,351016.0
KyThyerNhPUBZvhhza3CFvfhMM73,2,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['if', 'hints', 'nar']","{""Lady Rose's Chrysanthemum Ball"": 'if', 'The Great Chili Competition': 'hints', 'The Wild Rose Train': 'nar'}",nar,if,hints,91968,11,expert,2,2049975.0,1024987.5
t4Q4jpzHweRdIsYoSHunqlOiops1,1,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","['hints', 'if', 'nar']","{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'if', 'The Great Chili Competition': 'nar'}",if,hints,nar,217551,11,intermediate,1,0.0,0.0
lyHAEPfqH3TvlzIMWTdMfMRMLWf1,1,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","['hints', 'nar', 'if']","{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'nar', 'The Great Chili Competition': 'if'}",nar,hints,if,424451,11,intermediate,3,1668434.0,556144.6666666666
328BM2taHsUafTpp7t9re3j2K3l1,2,2,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['if', 'nar', 'hints']","{'The Great Chili Competition': 'if', 'The Wild Rose Train': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'hints'}",nar,hints,if,346923,11,expert,1,604026.0,604026.0
ywGPMgor16h70gJNTHMMGMofh843,2,2,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['hints', 'if', 'nar']","{'The Great Chili Competition': 'hints', 'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'nar'}",if,nar,hints,223507,11,expert,1,116467.0,116467.0
4b9fgFrocmdyzLOAYIRQxCTgA8t1,1,1,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['nar', 'if', 'hints']","{'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints'}",if,hints,nar,150492,11,novice,3,993909.0,331303.0
cjzXtqeeDtQy282aBR9UFFlwBMA3,1,2,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['nar', 'hints', 'if']","{'The Wild Rose Train': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'if'}",nar,hints,if,149854,11,intermediate,3,2313162.0,771054.0
9P9eGssGi3WCh2AWF4feQTc9Bti2,1,1,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['nar', 'if', 'hints']","{'The Wild Rose Train': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'if', 'The Great Chili Competition': 'hints'}",nar,if,hints,157955,11,novice,1,101613.0,101613.0
3MYLQFwvanbnoQzFlo2ovXqbESD2,1,1,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['nar', 'hints', 'if']","{'The Great Chili Competition': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'if'}",if,hints,nar,58130,11,novice,3,795363.0,265121.0
t9bFI8ABHoVwT4rNb72ZBfklPLH2,1,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['nar', 'hints', 'if']","{""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Great Chili Competition': 'hints', 'The Wild Rose Train': 'if'}",if,nar,hints,58664,11,intermediate,1,172500.0,172500.0
